hanja	hangul	require_hanja	require_hangul
亂刀	란도	false	false
亂刀질	란도질	false	false
亂刀질하다	란도질하다	false	false
亂刀하다	란도하다	false	false
亂分布	란분포	false	false
亂刺	란자	false	false
亂刺法	란자법	false	false
亂刺하다	란자하다	false	false
亂動	란동	false	false
亂動군	란동군	false	false
亂動하다	란동하다	false	false
亂反射	란반사	false	false
亂命	란명	false	false
亂唱	란창	false	false
亂唱하다	란창하다	false	false
亂啄	란탁	false	false
亂國	란국	false	false
亂場	란장	false	false
亂場질	란장질	false	false
亂場판	란장판	false	false
亂夢	란몽	false	false
亂婚	란혼	false	false
亂家	란가	false	false
亂局	란국	false	false
亂層雲	란층운	false	false
亂廛	란전	false	false
亂後	란후	false	false
亂心	란심	false	false
亂戰	란전	false	false
亂戰하다	란전하다	false	false
亂打	란타	false	false
亂打하다	란타하다	false	false
亂招	란초	false	false
亂擣	란도	false	false
亂擣하다	란도하다	false	false
亂政	란정	false	false
亂數	란수	false	false
亂日	란일	false	false
亂時	란시	false	false
亂暴하다	란포하다	false	false
亂杖	란장	false	false
亂杖刑	란장형	false	false
亂民	란민	false	false
亂法亂道	란법란도	false	false
亂波	란파	false	false
亂流	란류	false	false
亂獲	란획	false	false
亂用	란용	false	false
亂用하다	란용하다	false	false
亂畫	란화	false	false
亂發	란발	false	false
亂發하다	란발하다	false	false
亂立	란립	false	false
亂立하다	란립하다	false	false
亂筆	란필	false	false
亂脈	란맥	false	false
亂脈相	란맥상	false	false
亂臣	란신	false	false
亂臣賊子	란신적자	false	false
亂舞	란무	false	false
亂舞場	란무장	false	false
亂舞하다	란무하다	false	false
亂草	란초	false	false
亂行	란행	false	false
亂視	란시	false	false
亂視眼	란시안	false	false
亂視鏡	란시경	false	false
亂言	란언	false	false
亂調	란조	false	false
亂讀	란독	false	false
亂讀하다	란독하다	false	false
亂賊	란적	false	false
亂軍	란군	false	false
亂邦	란방	false	false
亂雜스럽다	란잡스럽다	false	false
亂離	란리	false	false
亂離판	란리판	false	false
亂類	란류	false	false
亂飛	란비	false	false
亂飛하다	란비하다	false	false
亂髮	란발	false	false
亂髮灰	란발회	false	false
亂鬪	란투	false	false
亂鬪劇	란투극	false	false
亂鬪하다	란투하다	false	false
亂麻	란마	false	false
亂黨	란당	false	false
亂판	란판	false	false
了債	료채	false	false
了債하다	료채하다	false	false
了役	료역	false	false
了役하다	료역하다	false	false
了得	료득	false	false
了悟	료오	false	false
了悟하다	료오하다	false	false
了結	료결	false	false
了結되다	료결되다	false	false
了結하다	료결하다	false	false
了義	료의	false	false
了義經	료의경	false	false
了解	료해	false	false
了解度	료해도	false	false
了解되다	료해되다	false	false
了解하다	료해하다	false	false
事事反對	사사반대	false	false
事事反對하다	사사반대하다	false	false
事事某事	사사모사	false	false
事件審理中止	사건심리중지	false	false
事件棄却	사건기각	false	false
事件組織	사건조직	false	false
事件線	사건선	false	false
事大妄想症	사대망상증	false	false
事大風	사대풍	false	false
事少功倍	사소공배	false	false
事役	사역	false	false
事業作風	사업작풍	false	false
事業總和	사업총화	false	false
事業마당	사업마당	false	false
事關	사관	false	false
二人運動	이인운동	false	false
二元燃料機關	이원연료기관	false	false
二分소리標	이분소리표	false	false
二十重式壓延機	이십중식압연기	false	false
二四分區	이사분구	false	false
二國籍	이국적	false	false
二尺底曳網	이척저예망	false	false
二尺機船底曳網	이척기선저예망	false	false
二律背反	이률배반	false	false
二條垂兒	이조수아	false	false
二極三極素子論理集積回路	이극삼극소자론리집적회로	false	false
二極素子論理回路	이극소자론리회로	false	false
二極電子管	이극전자관	false	false
二次冷媒	이차랭매	false	false
二次核燃料	이차핵연료	false	false
二次異狀마당	이차이상마당	false	false
二次金屬加工	이차금속가공	false	false
二次電波探知機	이차전파탐지기	false	false
二次마디	이차마디	false	false
二次세마디式	이차세마디식	false	false
二次잔구멍	이차잔구멍	false	false
二毛作型	이모작형	false	false
二相맞닿이	이상맞닿이	false	false
二硫化	이류화	false	false
二硫化炭素	이류화탄소	false	false
二級負荷	이급부하	false	false
二草栽培	이초재배	false	false
二萬五千里長征	이만오천리장정	false	false
二豆	이두	false	false
二連窓	이련창	false	false
二連音	이련음	false	false
二連音符	이련음부	false	false
二進式	이진식	false	false
二進式十進數	이진식십진수	false	false
二部構成文	이부구성문	false	false
二重動脈音	이중동맥음	false	false
二重千里馬	이중천리마	false	false
二重命名法	이중명명법	false	false
二重回轉臺式	이중회전대식	false	false
二重固定臺	이중고정대	false	false
二重子音	이중자음	false	false
二重屬和音	이중속화음	false	false
二重屬音	이중속음	false	false
二重平量法	이중평량법	false	false
二重從屬原則	이중종속원칙	false	false
二重英雄	이중영웅	false	false
二重補語	이중보어	false	false
二重規律	이중규률	false	false
